,1. Spare Parts Agent,2. Supply Chain and Logistics,3. Health & Safety,4. Human Resources,5. Training and Improve,6. Research and Development,7. Restaurant,8. Accounting,9. IT Department,10. Cafeteria (1),11. Cafeteria (2),12. Service Room,13. Standards,14. Customer Relations & Public Affairs,15. Visiting Office,16. Operations,17. Quality Assurance and Quality Systems,18. Plant Management,19. Employees Affairs,20. Maintenance and Utilities,21. Meeting Venue,22. Sales and Marketing,23. Security,24. Finance & Cost Control,25. Distribution,26. Inventory Control,27. Technology,28. General Services,29. Legal & Compliance,30. Information Management
1. Spare Parts Agent,0.0,1092.0,425.0,104.0,142.0,896.0,55.0,214.0,89.0,148.0,140.0,140.0,1325.0,100.0,82.0,952.0,1146.0,184.0,122.0,1376.0,45.0,1135.0,128.0,956.0,772.0,1144.0,129.0,63.0,552.0,93.0
2. Supply Chain and Logistics,1001.0,0.0,537.0,261.0,764.0,580.0,204.0,345.0,320.0,32.0,47.0,81.0,1176.0,1482.0,831.0,1903.0,1019.0,1202.0,658.0,334.0,113.0,153.0,86.0,300.0,1192.0,971.0,751.0,453.0,361.0,589.0
3. Health & Safety,82.0,180.0,0.0,270.0,481.0,569.0,32.0,195.0,84.0,41.0,45.0,50.0,700.0,106.0,237.0,1149.0,454.0,154.0,73.0,358.0,141.0,68.0,29.0,93.0,356.0,113.0,1105.0,88.0,94.0,840.0
4. Human Resources,79.0,522.0,682.0,0.0,1727.0,829.0,86.0,844.0,286.0,21.0,96.0,77.0,159.0,1677.0,802.0,409.0,1743.0,1719.0,1523.0,2182.0,1504.0,1572.0,1397.0,1139.0,1592.0,850.0,2252.0,2087.0,1234.0,1885.0
5. Training and Improve,770.0,731.0,996.0,275.0,0.0,1552.0,56.0,28.0,884.0,39.0,47.0,31.0,361.0,676.0,451.0,364.0,729.0,679.0,1503.0,128.0,84.0,433.0,50.0,70.0,449.0,195.0,720.0,826.0,159.0,151.0
6. Research and Development,1184.0,1475.0,669.0,271.0,852.0,0.0,156.0,39.0,607.0,45.0,60.0,91.0,729.0,151.0,340.0,786.0,676.0,697.0,495.0,698.0,394.0,175.0,48.0,64.0,649.0,191.0,750.0,86.0,103.0,200.0
7. Restaurant,70.0,110.0,87.0,225.0,69.0,101.0,0.0,96.0,103.0,14.0,32.0,1178.0,80.0,100.0,1118.0,83.0,40.0,145.0,59.0,91.0,1135.0,12.0,59.0,58.0,72.0,87.0,97.0,57.0,79.0,20.0
8. Accounting,95.0,572.0,297.0,1516.0,405.0,2266.0,88.0,0.0,187.0,28.0,50.0,67.0,523.0,156.0,95.0,1140.0,709.0,381.0,2302.0,1597.0,210.0,1745.0,27.0,1478.0,645.0,656.0,162.0,978.0,724.0,503.0
9. IT Department,251.0,693.0,126.0,308.0,935.0,782.0,80.0,223.0,0.0,74.0,93.0,34.0,102.0,663.0,191.0,727.0,109.0,460.0,1072.0,360.0,27.0,799.0,152.0,265.0,137.0,96.0,1610.0,1492.0,185.0,1490.0
10. Cafeteria (1),71.0,27.0,40.0,63.0,65.0,35.0,40.0,36.0,16.0,0.0,730.0,948.0,47.0,39.0,781.0,54.0,60.0,64.0,160.0,70.0,808.0,40.0,59.0,21.0,28.0,37.0,96.0,26.0,85.0,13.0
11. Cafeteria (2),91.0,94.0,82.0,43.0,60.0,87.0,45.0,60.0,76.0,1428.0,0.0,785.0,69.0,41.0,1052.0,74.0,71.0,52.0,107.0,43.0,1046.0,34.0,98.0,78.0,43.0,14.0,42.0,34.0,37.0,63.0
12. Service Room,90.0,72.0,97.0,461.0,168.0,225.0,946.0,53.0,69.0,886.0,1187.0,0.0,37.0,708.0,1109.0,698.0,60.0,279.0,72.0,818.0,789.0,34.0,54.0,52.0,82.0,32.0,35.0,44.0,19.0,21.0
13. Standards,98.0,422.0,945.0,634.0,1447.0,1493.0,271.0,120.0,1728.0,48.0,87.0,62.0,0.0,196.0,72.0,435.0,1676.0,117.0,40.0,324.0,37.0,644.0,51.0,57.0,158.0,72.0,74.0,98.0,674.0,255.0
