id,x,y,fixed_dist,type
1,-33.14,-44.5,53.57,Spare Parts Storage
2,23.62,21.94,62.58,Recycling Stations
3,-3.91,-36.29,50.85,Power Grid Connection Points
4,-7.7,85.95,35.59,Residential and Commercial Areas
5,-30.75,-6.66,122.67,Available Land Sites
6,-31.39,-23.6,16.46,Residential and Commercial Areas
7,9.42,-55.85,147.25,Airport
8,17.75,1.8,91.56,Residential and Commercial Areas
9,25.27,101.24,81.81,Residential and Commercial Areas
10,-12.88,-29.51,61.23,Ministry of Energy Branch
11,-49.25,-76.02,71.83,Residential and Commercial Areas
12,81.5,7.03,1.95,Residential and Commercial Areas
13,-14.16,-40.74,11.28,Turbine and PV Maintenance Center
14,-51.68,-81.09,7.98,Residential and Commercial Areas
15,-72.83,-55.09,7.24,Residential and Commercial Areas
16,53.13,26.33,46.96,Residential and Commercial Areas
17,-16.52,11.4,76.7,Weather Stations
18,7.71,92.72,60.11,Residential and Commercial Areas
19,-12.59,7.68,62.32,Residential and Commercial Areas
20,39.93,111.33,118.18,Available Land Sites
21,1.44,-9.33,97.35,City Center Hotel
22,14.2,20.65,19.33,Residential and Commercial Areas
23,-44.24,-70.17,138.8,Residential and Commercial Areas
24,40.62,-54.89,138.47,Governmental Facility
25,18.28,58.02,133.64,Stadium
26,-3.46,91.62,4.82,Residential and Commercial Areas
27,110.91,15.07,45.2,Available Land Sites
28,-58.5,33.47,87.93,Residential and Commercial Areas
29,19.49,71.92,61.71,Governmental Facility
30,-14.92,29.68,79.78,Residential and Commercial Areas
31,8.27,-13.63,16.42,Residential and Commercial Areas
32,-54.91,-27.76,133.77,Residential and Commercial Areas
33,35.89,-28.73,30.36,Spare Parts Storage
34,21.34,-31.08,134.57,Residential and Commercial Areas
35,30.95,-24.39,146.0,Residential and Commercial Areas
36,-12.8,28.12,66.86,Governmental Facility
37,5.14,31.42,124.65,Residential and Commercial Areas
38,22.64,20.81,6.71,Residential and Commercial Areas
39,5.06,42.11,138.48,Power Grid Connection Points
40,12.11,-20.42,70.15,Spare Parts Storage
41,-41.06,24.41,78.32,Residential and Commercial Areas
42,-30.2,56.93,116.06,Residential and Commercial Areas
43,41.61,25.75,66.91,Available Land Sites
44,-43.58,-8.96,141.88,Residential and Commercial Areas
45,-24.89,50.96,70.16,Recycling Stations
46,11.98,49.67,64.68,Spare Parts Storage
47,45.65,78.51,146.95,Residential and Commercial Areas
48,-90.68,100.7,55.63,Disposal Center
49,-2.43,12.41,100.64,Governmental Facility
50,24.99,-58.52,83.54,Residential and Commercial Areas
51,-29.32,-65.87,49.23,Power Grid Connection Points
52,48.62,-15.32,70.09,Residential and Commercial Areas
53,-30.69,-30.11,113.65,Residential and Commercial Areas
54,-83.35,31.45,121.18,Large-scale battery storage facilities
55,-42.41,-1.12,60.34,Residential and Commercial Areas
56,-80.14,-25.72,27.41,Residential and Commercial Areas
57,89.3,-47.34,149.48,Residential and Commercial Areas
58,42.4,44.75,39.32,Residential and Commercial Areas
59,39.15,-11.12,77.47,Residential and Commercial Areas
60,-8.14,-12.03,116.43,Weather Stations
61,-18.05,-24.97,133.23,Residential and Commercial Areas
62,35.7,50.84,15.63,Industrial Zone
63,-31.26,-10.99,10.81,Residential and Commercial Areas
64,1.07,3.61,105.77,Residential and Commercial Areas
65,-12.38,-52.33,30.63,Residential and Commercial Areas
66,-32.89,-7.1,59.55,Residential and Commercial Areas
67,-22.71,48.01,38.05,Storage and Logistics Centers
68,-8.24,-81.43,33.41,Residential and Commercial Areas
69,-33.26,17.07,142.14,Residential and Commercial Areas
70,-29.32,-30.21,45.18,Residential and Commercial Areas
71,-2.01,89.75,108.6,Residential and Commercial Areas
72,9.61,-11.09,93.72,Recycling Stations
73,70.43,0.47,100.94,Residential and Commercial Areas
74,34.64,-14.38,53.87,Residential and Commercial Areas
75,-46.29,-13.81,66.52,Residential and Commercial Areas
76,16.25,14.52,116.21,Weather Stations
77,-72.37,-75.6,134.31,Residential and Commercial Areas
78,-9.01,-140.67,36.92,Disposal Center
79,-54.89,-23.42,15.68,Residential and Commercial Areas
80,-20.35,28.34,136.03,Power Grid Connection Points
81,-35.98,76.45,113.68,Residential and Commercial Areas
82,-39.47,68.67,15.34,Residential and Commercial Areas
83,-123.8,1.41,13.21,Port
84,-28.84,-8.46,127.64,Residential and Commercial Areas
85,34.46,-51.25,127.16,Residential and Commercial Areas
86,-41.85,-46.22,88.82,Training Facilities
87,-11.22,-5.07,77.5,Residential and Commercial Areas
88,22.12,14.24,78.95,Residential and Commercial Areas
89,-39.09,15.69,146.08,Residential and Commercial Areas
90,35.43,88.47,143.73,Large-scale battery storage facilities
91,-18.09,56.43,98.4,Residential and Commercial Areas
92,-10.45,53.66,75.83,Residential and Commercial Areas
93,88.99,-42.2,73.83,Residential and Commercial Areas
94,-46.26,-34.07,12.71,Residential and Commercial Areas
95,-34.83,-42.3,91.19,Residential and Commercial Areas
96,49.41,-8.26,136.24,Power Grid Connection Points
97,0.71,102.96,74.8,Residential and Commercial Areas
98,28.33,44.42,95.94,Residential and Commercial Areas
99,25.93,-46.28,65.65,Residential and Commercial Areas
100,-21.08,-51.57,136.4,Residential and Commercial Areas
101,91.63,38.4,85.38,Residential and Commercial Areas
102,35.23,-21.13,131.79,Residential and Commercial Areas
103,21.27,38.0,10.36,Metro Station
104,43.15,33.66,103.37,Residential and Commercial Areas
105,-62.97,-105.14,71.61,Available Land Sites
106,59.74,-37.97,141.41,Residential and Commercial Areas
107,60.04,-29.32,129.63,Residential and Commercial Areas
108,81.32,26.99,23.69,Residential and Commercial Areas
109,-100.2,59.79,111.73,Industrial Zone
