,Z-1,Z-2,Z-3,Z-4,Z-5,Z-6,Z-7,Z-8,Z-9,Z-10,Z-11,Z-12,Z-13,Z-14,Z-15,Z-16,Z-17,Z-18,Z-19,Z-20,Z-21,Z-22,Z-23,Z-24,Z-25,Z-26,Z-27,Z-28,Z-29,Z-30,Z-31,Z-32,Z-33,Z-34,Z-35,Z-36,Z-37,Z-38,Z-39,Z-40,Z-41,Z-42,Z-43,Z-44,Z-45,Z-46,Z-47,Z-48,Z-49,Z-50,Z-51,Z-52,Z-53,Z-54,Z-55,Z-56,Z-57,Z-58,Z-59,Z-60,Z-61,Z-62,Z-63,Z-64,Z-65,Z-66,Z-67,Z-68,Z-69,Z-70,Z-71,Z-72,Z-73,Z-74,Z-75,Z-76,Z-77,Z-78,Z-79,Z-80,Z-81,Z-82,Z-83,Z-84,Z-85,Z-86,Z-87,Z-88,Z-89,Z-90,Z-91,Z-92,Z-93,Z-94,Z-95,Z-96,Z-97,Z-98,Z-99,Z-100,Z-101,Z-102,Z-103,Z-104,Z-105,Z-106,Z-107,Z-108,Z-109,Z-110,Z-111,Z-112,Z-113,Z-114,Z-115,Z-116,Z-117,Z-118,Z-119,Z-120,Z-121,Z-122,Z-123,Z-124,Z-125,Z-126,Z-127,Z-128,Z-129,Z-130,Z-131,Z-132,Z-133,Z-134,Z-135,Z-136,Z-137
Z-1,inf,143231.16,48173.6,111393.92,111528.8,41750.37,68766.64,95271.19,114905.96,61869.99,88588.55,19849.2,120349.66,132232.46,108372.57,27543.81,142543.5,151316.64,inf,139002.55,134772.09,84610.87,125665.35,107363.42,156718.63,inf,121437.45,81345.81,90317.77,148870.46,81091.04,118899.02,125372.48,76147.33,63896.02,87441.96,127434.3,41412.16,128075.67,207951.9,84551.3,99307.55,139053.37,120603.66,161885.25,134755.38,169248.16,117972.81,87919.32,100180.49,103859.07,86805.97,148146.05,197887.17,149242.69,112192.58,84720.39,99827.52,76544.29,139581.64,53549.66,64200.74,126289.65,inf,45297.18,50665.99,1630.14,56639.99,166178.05,80980.36,22380.02,74240.08,105757.08,92667.71,103582.14,94688.61,6136.95,53026.89,184907.53,inf,105545.23,107259.83,110626.86,112948.48,86668.15,103256.1,103435.86,175345.34,73848.72,175232.12,108104.75,55556.12,85587.12,110874.08,74258.53,inf,157037.83,133604.06,74520.49,101728.04,149790.65,186321.34,90368.93,157170.62,115157.63,193973.84,83445.12,106682.88,145902.1,124653.85,68773.45,64368.3,92096.92,84958.38,64947.23,58673.98,120869.93,107274.15,120372.81,106497.79,90351.66,99858.79,59907.47,67514.33,115787.76,inf,87464.41,131475.66,200792.74,95626.29,73203.86,72328.33,177515.34,34136.65,92618.9,106577.53,112207.47
Z-2,90826.44,inf,176255.7,74128.31,87711.18,127645.75,47321.99,91913.85,33380.03,98617.95,150877.09,10658.87,146772.27,83827.36,110847.01,133234.85,88652.44,123775.76,187817.66,123007.43,48243.74,18635.68,118364.46,111289.49,86784.8,124368.71,193110.8,144727.0,125943.15,99701.04,95109.9,104987.35,139981.47,90946.56,110823.4,26245.17,94771.72,105436.53,103996.86,67322.01,122074.49,72656.75,174713.29,64006.42,48955.91,147272.83,131907.98,127196.08,85955.69,137082.05,42325.13,90805.0,96214.34,89186.24,74445.15,72218.2,22888.74,183047.66,inf,126431.55,inf,40571.26,165814.37,115167.29,77007.71,73093.57,126619.59,95121.88,inf,129326.71,123710.61,145980.55,inf,inf,92063.45,123225.37,123305.0,100784.96,120364.39,inf,60427.0,43895.9,134745.79,81175.44,133270.86,84184.77,118456.2,20977.73,128411.88,88329.01,21750.89,117837.83,148470.89,114571.55,47744.59,87349.9,131027.21,88021.45,96638.51,117414.81,109951.99,46074.35,137862.1,44460.24,129786.29,76760.2,135527.43,91397.59,74339.63,118291.38,82965.02,47903.98,72473.16,131064.49,88418.36,91718.01,77900.28,inf,101114.93,125785.46,46478.3,147915.42,135854.28,inf,123121.99,114795.99,118404.68,82346.24,64140.5,114540.5,150072.17,155748.97,inf,72043.53,155902.84,121893.04,127474.35
Z-3,121640.3,153683.71,inf,inf,166800.74,9027.77,102816.51,inf,28686.03,9759.12,122440.52,129429.3,127524.82,inf,193079.31,153904.92,124119.68,98047.29,86178.08,144690.03,123874.87,172605.95,111317.3,93972.98,72107.25,109093.84,135422.97,115661.46,89266.05,130492.24,102404.72,103738.52,103088.49,94346.45,167122.85,130991.42,122928.79,206721.55,49388.31,97951.7,103850.96,102343.03,183354.51,85961.35,112177.37,107718.01,inf,61043.68,15936.7,68194.89,105780.29,110140.61,74290.4,95823.62,119348.73,83984.42,104626.73,78386.93,122888.75,75167.43,156676.33,95270.52,99063.32,97344.0,106581.1,188541.03,44354.86,61236.5,150443.62,94016.7,55705.03,4667.22,86672.86,60725.67,121260.11,inf,71437.78,83991.56,129707.41,104032.16,73530.56,121022.42,134089.34,93881.81,101770.55,157965.24,102495.75,109138.66,157936.42,110275.63,72353.07,54540.81,112224.02,134826.2,60473.09,64954.3,141816.62,84428.95,46847.86,122411.11,125253.53,157528.53,159315.15,71660.7,86546.72,51234.32,91723.35,131184.56,114528.96,86976.46,71389.03,85399.26,67359.78,87744.84,104031.29,79102.6,168825.33,103388.86,105812.2,61405.8,89586.05,77772.2,145495.38,56392.02,115603.45,48876.82,49587.76,82621.0,78209.72,220470.25,63282.27,159204.51,120069.28,107672.68,143237.66,144527.82,46150.93
Z-4,100851.65,131226.54,114495.52,inf,177533.49,75581.15,91163.93,106783.13,134337.71,104720.02,139548.14,47276.68,71008.61,134281.4,inf,104763.6,93794.49,84294.64,inf,121989.16,80752.32,54507.52,83899.22,112674.52,95076.95,70493.27,118443.12,51561.33,62589.1,70798.59,71123.98,116687.5,105378.14,81542.62,72775.63,130822.43,78542.41,171163.25,61784.81,61163.62,90764.21,136151.27,100491.74,127699.18,45248.96,70063.32,101034.62,104117.7,77721.3,64046.78,147786.85,185004.72,119903.28,57587.55,49070.17,67904.19,142846.7,67185.36,69488.75,119504.54,97946.59,99757.35,174001.0,78102.29,127105.66,182290.95,71744.64,inf,123385.34,inf,87847.38,55908.53,162938.84,74636.16,110680.59,112235.34,61638.4,135918.3,78624.45,124212.57,29760.04,33130.35,126244.42,105918.79,99087.69,59001.09,182364.46,83288.4,189255.33,39086.82,38627.29,106708.29,inf,100879.39,114727.81,112130.96,164493.87,128293.41,146614.06,74058.76,99555.55,119710.6,126106.52,137236.25,151348.38,123043.92,144788.58,56009.58,103647.41,9978.04,188220.49,82117.45,112744.69,31721.9,103920.89,100035.84,101264.34,48603.11,88454.73,130085.85,inf,107051.17,57113.89,149886.11,200613.41,135311.67,125843.29,142863.06,51065.5,112628.89,101444.66,87580.32,94065.26,46303.28,77105.57,144613.14,155076.79
Z-5,176803.63,106559.54,26344.12,75784.51,inf,inf,133337.65,56771.58,84780.43,78879.18,58728.15,110101.87,191282.16,87226.7,125802.91,68584.6,126836.8,106775.55,101410.21,149889.95,81676.12,155049.86,110206.18,92931.36,40483.56,162842.05,108212.75,53474.87,146251.54,inf,90881.86,164833.43,106716.15,96435.04,143133.09,50926.08,154451.36,112369.55,138351.8,82172.19,92904.37,90945.62,55200.95,102177.51,129210.91,76181.94,39939.36,122875.86,35827.24,inf,90200.33,95516.31,143729.32,85072.92,25700.21,101634.41,146300.11,68852.63,125791.02,33813.5,133899.69,192467.62,91359.58,110418.16,80530.82,inf,119804.33,117444.02,86900.88,110881.72,126055.71,107795.38,162114.23,83434.73,155034.48,101920.38,162094.36,25634.43,135639.11,136113.38,75952.27,91244.24,20044.75,34151.41,99755.68,85953.73,78444.45,100267.75,56565.58,103092.87,119237.34,93226.02,85340.37,71927.9,104985.03,149300.81,110139.44,54144.74,107455.08,85597.91,99289.47,90827.3,inf,101975.6,inf,103399.86,70853.75,94246.3,94817.63,inf,160266.01,inf,inf,78615.61,2208.64,111132.14,34971.7,124566.4,69246.8,inf,124354.13,129993.82,146386.64,74225.93,49109.25,147064.01,153183.32,60619.6,154495.41,99015.3,124328.62,38744.12,22319.96,90607.02,103019.22,163712.58,162513.65
Z-6,82175.72,157179.09,77619.33,72621.9,117772.46,inf,142295.15,82753.4,90820.56,inf,155284.0,107630.77,71687.96,77442.77,88043.87,150555.93,78568.88,102460.05,179194.09,123980.11,42900.42,148086.33,71295.38,44041.5,104481.93,64914.0,116624.92,142716.13,102461.68,130779.6,74263.97,22161.04,79848.51,136251.7,29959.16,inf,106619.38,130635.06,97015.82,82406.43,inf,87321.57,13187.3,199188.51,inf,49617.5,118519.05,68997.34,148149.48,97198.88,97588.2,106522.02,139357.13,115426.08,85011.86,97558.46,93015.66,inf,160868.2,87564.13,48319.41,80846.97,94716.66,170254.68,46254.25,91513.31,114164.79,118398.57,44927.66,126536.07,34024.35,48349.94,66582.74,103868.7,74407.16,140213.17,62766.77,114129.51,85132.32,90838.62,156969.29,71149.39,148108.75,60129.08,46179.78,124703.12,185127.34,78847.91,74352.2,85304.77,131378.69,206960.1,75404.61,100701.69,74605.99,99186.74,121174.02,117645.73,167768.5,inf,inf,85266.57,133756.55,96601.81,89356.51,111381.98,67386.89,87885.85,88570.3,82044.19,inf,88336.16,131948.65,90904.13,72267.29,122141.31,87668.88,130794.95,12925.11,133740.8,168490.94,89325.16,125074.14,153336.34,68481.84,25958.3,inf,63648.93,100106.2,82606.9,27492.88,96328.11,83931.83,160409.87,88019.48,175453.38,134905.64
Z-7,92615.89,86385.41,107791.09,128672.45,76108.12,49105.99,inf,97106.58,79939.4,103316.85,93619.77,47377.22,142357.02,69349.8,86693.34,117278.29,106499.0,44211.79,125298.15,50361.03,71747.22,35183.25,80622.59,70349.18,115294.34,93174.88,30564.53,6790.26,49998.78,133014.83,68436.36,109803.6,70703.09,100166.84,76778.76,157000.83,104554.56,8596.25,50645.0,107439.35,157957.4,152991.62,63953.31,104873.18,186460.71,86756.31,43829.45,121261.28,106150.26,121199.84,68498.92,125525.57,105982.3,97804.33,149153.45,71664.31,130407.68,108894.96,106826.34,82540.85,118285.47,152058.49,85703.98,128018.61,72355.4,168527.66,50110.57,94348.3,120044.85,99188.31,139239.76,inf,102232.01,101305.57,87366.78,148199.26,121256.51,117627.82,144097.81,137179.63,132234.89,63205.73,133742.93,131675.72,88907.43,81697.3,64425.58,109336.09,91920.9,48223.31,114010.93,128515.62,192917.34,43876.59,133836.66,88759.38,51978.55,53090.62,16112.51,109566.28,50009.69,104103.97,65581.65,188345.82,125991.85,85102.55,94033.36,132094.12,130436.45,69090.8,80196.31,34612.1,151974.3,136256.79,122544.44,72712.21,7107.91,147319.17,31442.79,64961.35,141326.62,152524.12,160884.87,124979.68,86847.99,218478.3,155300.69,152240.11,111387.58,62557.51,120464.39,87940.71,123876.65,59115.95,165318.65,108896.39,inf
Z-8,93625.14,131932.82,150446.11,139977.68,62935.0,58231.8,146103.81,inf,88248.45,43598.46,104023.54,143210.26,133247.95,62295.05,73917.56,182926.65,94980.13,83131.39,99929.52,152569.79,86065.98,inf,123501.09,112624.48,68296.14,119302.66,inf,190308.52,142807.29,104678.72,70740.73,152162.78,86784.35,154861.65,161706.73,65194.43,29459.25,159184.48,81741.94,114877.06,145737.32,103182.98,67703.96,130428.33,84143.19,88349.01,96669.04,83913.58,71570.19,87113.09,17694.65,128766.66,96623.57,91128.19,101331.08,96120.2,130284.16,84818.59,120461.51,113520.27,43956.41,64081.49,22220.32,14322.26,inf,93550.32,119795.97,112177.79,99860.08,172399.11,90570.87,126514.74,85515.92,122263.48,95440.78,104473.95,177535.0,107882.05,103680.42,106267.03,76888.84,122517.19,103831.31,140473.18,78186.61,81394.28,143531.65,114506.14,33879.96,53683.83,62210.53,124681.27,109539.62,57276.87,121564.01,138918.12,65581.98999999999,100685.34,28212.08,133068.48,66465.91,132108.3,126445.62,115412.77,26332.66,121131.0,49746.27,111477.08,138749.44,45293.64,41547.66,127371.07,121127.42,115362.33,86528.47,110613.63,137124.37,113187.3,63419.82,143068.96,96559.06,48962.88,41437.12,87327.08,125545.33,76969.51,159892.66,94019.24,124502.87,123397.79,inf,136533.8,133787.57,111647.76,212387.32,inf,3322.84
Z-9,106267.79,105686.03,73181.03,64647.3,89572.66,127994.49,63322.77,147072.71,inf,37393.58,60476.98,68659.93,141247.77,82549.02,224185.55,144068.97,60044.63,13506.75,57912.06,93996.21,98214.47,162114.94,138366.77,27082.82,96095.16,28288.69,181577.45,145367.73,75589.58,116860.0,89396.1,inf,99492.15,91901.07,126550.06,126724.62,51733.88,inf,133376.19,104755.94,115737.17,115831.73,18947.76,111114.83,186990.33,61712.97,167407.13,123455.47,88157.76,118980.04,145486.82,132036.53,105266.31,170796.6,22791.67,68956.48,128056.98,111145.69,85927.59,87911.21,179713.38,130585.16,88678.47,141611.16,77366.47,inf,93664.1,132527.27,78298.31,72629.2,192035.46,123809.97,63544.13,74099.74,114909.42,102746.14,58964.14,88805.31,94380.34,109798.51,85252.42,153471.96,107742.15,194348.15,164019.36,60394.26,90357.37,95622.27,116476.37,94243.31,102839.06,55957.06,168827.24,148602.25,96395.98,inf,7942.55,77760.98,106671.15,68824.82,138050.38,inf,69493.52,184826.96,181100.99,103282.87,91654.0,169404.51,inf,81878.29,64988.97,86921.3,80881.93,78721.65,78576.42,124388.45,46973.93,160247.11,66508.3,80475.62,122583.49,66616.08,116108.89,150235.83,168589.33,96314.26,171396.85,14287.05,95922.78,107728.28,87860.4,116901.54,51639.73,58393.84,131588.97,119758.72,81083.72
Z-10,110795.77,51331.14,81351.73,inf,131336.32,36703.96,151873.91,168981.89,61012.25,inf,75649.03,104036.43,122644.49,23508.23,140194.01,44965.72,128228.44,75025.36,106600.91,124031.58,87039.74,96811.54,97760.53,95565.97,41722.23,124425.73,93243.75,128530.0,140009.13,79864.49,67295.32,152229.96,142259.11,77168.78,108069.27,inf,74010.78,98215.3,80293.37,139037.47,62147.29,154369.95,98671.61,57748.13,50663.8,79658.94,134928.44,100030.91,110308.92,80505.35,114951.41,104558.08,106993.94,72672.15,119162.58,101615.17,117038.93,122010.38,73284.52,122523.09,126773.91,92466.91,53985.28,103282.78,inf,186729.1,75085.84,12087.02,124606.16,86152.41,49177.53,58136.69,80613.63,63155.73,59323.19,105893.39,118071.03,74486.33,63829.28,153879.46,106527.12,153281.25,106563.46,75268.53,81757.92,153770.22,inf,203457.6,59497.24,53980.26,94082.05,133561.57,97217.19,118386.89,124017.2,96332.09,121801.55,163038.58,117043.04,168028.9,124422.28,57876.27,113480.5,68193.68,118350.79,150885.82,inf,108958.74,84166.64,104086.33,104844.46,118592.02,inf,63477.38,58579.67,107661.94,117067.64,112993.83,78147.99,135996.64,93511.01,133231.4,93912.6,22067.51,81477.06,108743.25,117514.87,113294.64,92766.89,126135.56,102610.59,99580.41,144775.71,115907.7,80813.39,87348.99,inf
