zone_id,demand,cost,capacity
Z-1,1024.0,10835.0,1684.0
Z-2,643.0,10702.0,2172.0
Z-3,646.0,11726.0,1709.0
Z-4,1283.0,7266.0,1647.0
Z-5,1265.0,10255.0,1532.0
Z-6,1214.0,5951.0,1617.0
Z-7,1013.0,5637.0,1781.0
Z-8,546.0,9052.0,1778.0
Z-9,1162.0,14206.0,1863.0
Z-10,601.0,5788.0,1985.0
Z-11,1470.0,9668.0,2190.0
Z-12,908.0,96.0,2065.0
Z-13,1428.0,1953.0,1945.0
Z-14,1237.0,13540.0,1682.0
Z-15,1433.0,1049.0,1817.0
Z-16,1046.0,7327.0,2112.0
Z-17,645.0,3208.0,1990.0
Z-18,1183.0,9704.0,1691.0
Z-19,1125.0,10883.0,1756.0
Z-20,1227.0,10741.0,2149.0
Z-21,1163.0,3521.0,2034.0
Z-22,1391.0,9306.0,1807.0
Z-23,1020.0,2436.0,1727.0
Z-24,999.0,1629.0,2100.0
Z-25,835.0,1487.0,1556.0
Z-26,1227.0,13210.0,1624.0
Z-27,1296.0,9652.0,2064.0
Z-28,1261.0,302.0,2182.0
Z-29,1268.0,1484.0,1901.0
Z-30,1207.0,12077.0,1911.0
Z-31,731.0,2506.0,1935.0
Z-32,1145.0,13202.0,1619.0
Z-33,517.0,9121.0,1553.0
Z-34,1071.0,1760.0,2153.0
Z-35,603.0,3989.0,1825.0
Z-36,514.0,12329.0,1533.0
Z-37,823.0,1591.0,1866.0
Z-38,1362.0,11650.0,1912.0
Z-39,541.0,8086.0,1709.0
Z-40,1437.0,13826.0,1743.0
Z-41,1199.0,11802.0,1853.0
Z-42,851.0,14092.0,1794.0
Z-43,730.0,9084.0,1732.0
Z-44,1013.0,2010.0,1906.0
Z-45,765.0,14047.0,1856.0
Z-46,819.0,5304.0,2008.0
Z-47,676.0,792.0,1663.0
Z-48,1160.0,7027.0,2101.0
Z-49,1141.0,5344.0,2099.0
Z-50,1146.0,9145.0,1721.0
Z-51,598.0,12220.0,1730.0
Z-52,584.0,11476.0,1603.0
Z-53,1204.0,13127.0,1613.0
Z-54,1417.0,2751.0,2122.0
Z-55,1308.0,11473.0,1661.0
Z-56,709.0,1080.0,2097.0
Z-57,1066.0,11707.0,1641.0
Z-58,1278.0,841.0,1577.0
Z-59,1387.0,5837.0,1597.0
Z-60,601.0,7062.0,2067.0
Z-61,863.0,6838.0,1858.0
Z-62,1486.0,11679.0,1832.0
Z-63,962.0,6978.0,2042.0
Z-64,1131.0,8054.0,2009.0
Z-65,670.0,960.0,1770.0
Z-66,505.0,5760.0,1588.0
Z-67,1097.0,1469.0,1764.0
Z-68,680.0,5101.0,1848.0
Z-69,1259.0,9595.0,1802.0
Z-70,1241.0,4679.0,2062.0
Z-71,555.0,13770.0,2199.0
Z-72,1079.0,1461.0,2114.0
Z-73,707.0,14111.0,1641.0
Z-74,1375.0,13108.0,1864.0
Z-75,844.0,11192.0,1589.0
Z-76,965.0,4647.0,1772.0
Z-77,558.0,14638.0,1719.0
Z-78,552.0,13142.0,1819.0
Z-79,1156.0,6444.0,1541.0
Z-80,539.0,5820.0,2130.0
Z-81,1274.0,722.0,2109.0
Z-82,937.0,9076.0,2131.0
Z-83,1410.0,14046.0,1745.0
Z-84,641.0,657.0,1612.0
Z-85,691.0,7670.0,1835.0
Z-86,1229.0,6954.0,1947.0
Z-87,652.0,12870.0,1724.0
Z-88,1486.0,8082.0,1927.0
Z-89,1246.0,224.0,1913.0
Z-90,951.0,9607.0,1925.0
Z-91,959.0,8842.0,1517.0
Z-92,702.0,1620.0,1508.0
Z-93,754.0,1239.0,1886.0
Z-94,566.0,7897.0,1664.0
Z-95,1399.0,12172.0,2000.0
Z-96,836.0,13998.0,2173.0
Z-97,1141.0,7047.0,1835.0
Z-98,1334.0,12401.0,2037.0
Z-99,994.0,7175.0,1613.0
Z-100,1003.0,14533.0,1646.0
Z-101,1387.0,10096.0,2089.0
Z-102,875.0,1427.0,1699.0
Z-103,1447.0,6721.0,1575.0
Z-104,859.0,2062.0,2110.0
Z-105,798.0,5875.0,1838.0
Z-106,1366.0,7321.0,1994.0
Z-107,1300.0,13347.0,1975.0
Z-108,1008.0,6746.0,1893.0
Z-109,641.0,5364.0,1555.0
Z-110,1300.0,8254.0,1716.0
Z-111,1274.0,7454.0,1980.0
Z-112,884.0,14680.0,2027.0
Z-113,1063.0,7891.0,1819.0
Z-114,1498.0,11906.0,2046.0
Z-115,578.0,9401.0,1809.0
Z-116,1401.0,4413.0,1947.0
Z-117,1329.0,7582.0,1618.0
Z-118,1220.0,1588.0,2073.0
Z-119,537.0,13156.0,1671.0
Z-120,518.0,9403.0,2148.0
Z-121,1369.0,2731.0,1926.0
Z-122,1228.0,3122.0,2111.0
Z-123,827.0,7306.0,1879.0
Z-124,736.0,8136.0,2174.0
Z-125,944.0,9849.0,1547.0
Z-126,858.0,5297.0,1708.0
Z-127,1107.0,10345.0,1550.0
Z-128,1177.0,2224.0,1849.0
Z-129,1367.0,5748.0,2117.0
Z-130,845.0,1395.0,2067.0
Z-131,687.0,10749.0,2128.0
Z-132,1119.0,9604.0,2114.0
Z-133,539.0,6254.0,2105.0
Z-134,1412.0,13562.0,1587.0
Z-135,800.0,12575.0,1618.0
Z-136,1351.0,1173.0,1716.0
Z-137,1015.0,3704.0,2193.0
